sample_index,predicted_emotion,true_emotion,predicted_id,true_id,correct
338,disgust,disgust,2,2,True
339,fearful,fearful,3,3,True
340,disgust,disgust,2,2,True
341,sad,sad,6,6,True
342,disgust,disgust,2,2,True
343,angry,angry,0,0,True
344,disgust,disgust,2,2,True
345,neutral,neutral,5,5,True
346,happy,happy,4,4,True
347,fearful,fearful,3,3,True
348,sad,sad,6,6,True
349,happy,happy,4,4,True
350,happy,happy,4,4,True
351,neutral,neutral,5,5,True
352,disgust,fearful,2,3,False
353,angry,sad,0,6,False
354,fearful,fearful,3,3,True
355,happy,happy,4,4,True
356,angry,angry,0,0,True
357,fearful,fearful,3,3,True
358,happy,happy,4,4,True
359,fearful,happy,3,4,False
360,neutral,neutral,5,5,True
361,fearful,fearful,3,3,True
362,angry,happy,0,4,False
363,happy,happy,4,4,True
364,surprised,surprised,7,7,True
365,sad,fearful,6,3,False
366,happy,happy,4,4,True
367,sad,sad,6,6,True
368,calm,calm,1,1,True
369,disgust,disgust,2,2,True
370,sad,sad,6,6,True
371,angry,angry,0,0,True
372,disgust,fearful,2,3,False
373,calm,calm,1,1,True
374,disgust,disgust,2,2,True
375,calm,calm,1,1,True
376,surprised,surprised,7,7,True
377,neutral,happy,5,4,False
378,neutral,neutral,5,5,True
379,neutral,neutral,5,5,True
380,sad,sad,6,6,True
381,disgust,disgust,2,2,True
382,angry,angry,0,0,True
383,neutral,neutral,5,5,True
384,neutral,disgust,5,2,False
385,happy,happy,4,4,True
386,happy,happy,4,4,True
387,disgust,disgust,2,2,True
388,sad,sad,6,6,True
389,neutral,neutral,5,5,True
390,disgust,disgust,2,2,True
391,disgust,disgust,2,2,True
392,happy,happy,4,4,True
393,happy,happy,4,4,True
394,fearful,fearful,3,3,True
395,sad,disgust,6,2,False
396,happy,happy,4,4,True
397,sad,sad,6,6,True
398,neutral,neutral,5,5,True
399,disgust,disgust,2,2,True
400,happy,happy,4,4,True
401,neutral,neutral,5,5,True
402,angry,angry,0,0,True
403,angry,angry,0,0,True
404,angry,angry,0,0,True
405,happy,happy,4,4,True
406,sad,sad,6,6,True
407,fearful,happy,3,4,False
408,sad,sad,6,6,True
409,angry,happy,0,4,False
410,sad,sad,6,6,True
411,disgust,disgust,2,2,True
412,sad,fearful,6,3,False
413,happy,neutral,4,5,False
414,neutral,neutral,5,5,True
415,neutral,neutral,5,5,True
416,angry,angry,0,0,True
417,angry,angry,0,0,True
418,disgust,disgust,2,2,True
419,neutral,neutral,5,5,True
420,angry,angry,0,0,True
421,disgust,fearful,2,3,False
422,angry,fearful,0,3,False
423,surprised,surprised,7,7,True
424,sad,sad,6,6,True
425,neutral,neutral,5,5,True
426,angry,angry,0,0,True
427,happy,happy,4,4,True
428,neutral,neutral,5,5,True
429,sad,fearful,6,3,False
430,sad,sad,6,6,True
431,angry,angry,0,0,True
432,happy,happy,4,4,True
433,happy,happy,4,4,True
434,angry,angry,0,0,True
435,neutral,happy,5,4,False
436,disgust,disgust,2,2,True
437,angry,angry,0,0,True
438,happy,happy,4,4,True
439,surprised,surprised,7,7,True
440,sad,sad,6,6,True
441,disgust,disgust,2,2,True
442,neutral,neutral,5,5,True
443,angry,angry,0,0,True
444,angry,angry,0,0,True
445,neutral,neutral,5,5,True
446,sad,sad,6,6,True
447,sad,sad,6,6,True
448,fearful,happy,3,4,False
449,sad,fearful,6,3,False
450,surprised,surprised,7,7,True
451,angry,angry,0,0,True
452,angry,angry,0,0,True
453,neutral,neutral,5,5,True
454,neutral,neutral,5,5,True
455,sad,sad,6,6,True
456,happy,happy,4,4,True
457,angry,angry,0,0,True
458,sad,sad,6,6,True
459,sad,sad,6,6,True
460,happy,happy,4,4,True
461,sad,sad,6,6,True
462,fearful,disgust,3,2,False
463,neutral,neutral,5,5,True
464,sad,sad,6,6,True
465,angry,angry,0,0,True
466,happy,happy,4,4,True
467,angry,angry,0,0,True
468,neutral,neutral,5,5,True
469,sad,sad,6,6,True
470,angry,fearful,0,3,False
471,calm,sad,1,6,False
472,neutral,neutral,5,5,True
473,disgust,angry,2,0,False
474,angry,angry,0,0,True
475,angry,happy,0,4,False
476,sad,sad,6,6,True
477,angry,angry,0,0,True
478,fearful,fearful,3,3,True
479,fearful,fearful,3,3,True
480,angry,disgust,0,2,False
481,sad,fearful,6,3,False
482,disgust,sad,2,6,False
483,disgust,disgust,2,2,True
484,fearful,fearful,3,3,True
485,calm,calm,1,1,True
486,disgust,disgust,2,2,True
487,angry,angry,0,0,True
488,disgust,disgust,2,2,True
489,neutral,neutral,5,5,True
490,disgust,disgust,2,2,True
491,neutral,neutral,5,5,True
492,sad,sad,6,6,True
493,disgust,disgust,2,2,True
494,disgust,disgust,2,2,True
495,disgust,disgust,2,2,True
496,neutral,neutral,5,5,True
497,angry,angry,0,0,True
498,sad,fearful,6,3,False
499,disgust,disgust,2,2,True
500,neutral,neutral,5,5,True
501,happy,happy,4,4,True
502,disgust,disgust,2,2,True
503,sad,sad,6,6,True
504,disgust,fearful,2,3,False
505,neutral,neutral,5,5,True
506,sad,sad,6,6,True
507,angry,happy,0,4,False
508,disgust,sad,2,6,False
509,angry,angry,0,0,True
510,angry,angry,0,0,True
511,sad,sad,6,6,True
512,fearful,fearful,3,3,True
513,fearful,fearful,3,3,True
514,happy,happy,4,4,True
515,sad,disgust,6,2,False
516,neutral,neutral,5,5,True
517,sad,sad,6,6,True
518,disgust,disgust,2,2,True
519,disgust,disgust,2,2,True
520,disgust,sad,2,6,False
521,angry,angry,0,0,True
522,calm,calm,1,1,True
523,angry,angry,0,0,True
524,disgust,disgust,2,2,True
525,fearful,fearful,3,3,True
526,happy,happy,4,4,True
527,angry,angry,0,0,True
528,angry,angry,0,0,True
529,angry,angry,0,0,True
530,happy,neutral,4,5,False
531,neutral,neutral,5,5,True
532,angry,angry,0,0,True
533,disgust,disgust,2,2,True
534,disgust,disgust,2,2,True
535,fearful,fearful,3,3,True
536,disgust,disgust,2,2,True
537,angry,angry,0,0,True
538,neutral,neutral,5,5,True
539,happy,surprised,4,7,False
540,happy,happy,4,4,True
541,fearful,surprised,3,7,False
542,disgust,neutral,2,5,False
543,fearful,fearful,3,3,True
544,happy,happy,4,4,True
545,disgust,disgust,2,2,True
546,neutral,sad,5,6,False
547,disgust,disgust,2,2,True
548,neutral,neutral,5,5,True
549,disgust,disgust,2,2,True
550,angry,happy,0,4,False
551,fearful,happy,3,4,False
552,disgust,disgust,2,2,True
553,disgust,happy,2,4,False
554,neutral,neutral,5,5,True
555,sad,neutral,6,5,False
556,sad,fearful,6,3,False
557,neutral,neutral,5,5,True
558,neutral,neutral,5,5,True
559,disgust,sad,2,6,False
560,fearful,fearful,3,3,True
561,sad,sad,6,6,True
562,sad,sad,6,6,True
563,neutral,neutral,5,5,True
564,disgust,disgust,2,2,True
565,disgust,happy,2,4,False
566,angry,angry,0,0,True
567,angry,angry,0,0,True
568,disgust,disgust,2,2,True
569,fearful,fearful,3,3,True
570,happy,happy,4,4,True
571,surprised,surprised,7,7,True
572,happy,happy,4,4,True
573,fearful,fearful,3,3,True
574,disgust,disgust,2,2,True
575,calm,neutral,1,5,False
576,neutral,neutral,5,5,True
577,disgust,disgust,2,2,True
578,neutral,neutral,5,5,True
579,disgust,disgust,2,2,True
580,sad,sad,6,6,True
581,fearful,fearful,3,3,True
582,angry,angry,0,0,True
583,angry,sad,0,6,False
584,angry,angry,0,0,True
585,angry,angry,0,0,True
586,happy,happy,4,4,True
587,sad,fearful,6,3,False
588,angry,angry,0,0,True
589,fearful,fearful,3,3,True
590,sad,sad,6,6,True
591,disgust,sad,2,6,False
592,surprised,angry,7,0,False
593,sad,fearful,6,3,False
594,neutral,neutral,5,5,True
595,surprised,surprised,7,7,True
596,happy,happy,4,4,True
597,fearful,fearful,3,3,True
598,angry,angry,0,0,True
599,neutral,neutral,5,5,True
600,sad,neutral,6,5,False
601,happy,happy,4,4,True
602,disgust,disgust,2,2,True
603,angry,angry,0,0,True
604,disgust,angry,2,0,False
605,disgust,disgust,2,2,True
606,neutral,neutral,5,5,True
607,disgust,disgust,2,2,True
608,fearful,fearful,3,3,True
609,happy,happy,4,4,True
610,disgust,disgust,2,2,True
611,neutral,neutral,5,5,True
612,neutral,neutral,5,5,True
613,happy,happy,4,4,True
614,disgust,disgust,2,2,True
615,disgust,fearful,2,3,False
616,happy,happy,4,4,True
617,angry,disgust,0,2,False
618,disgust,disgust,2,2,True
619,sad,sad,6,6,True
620,happy,happy,4,4,True
621,disgust,disgust,2,2,True
622,neutral,neutral,5,5,True
623,sad,sad,6,6,True
624,disgust,disgust,2,2,True
625,neutral,neutral,5,5,True
626,sad,sad,6,6,True
627,disgust,disgust,2,2,True
628,angry,angry,0,0,True
629,disgust,disgust,2,2,True
630,angry,angry,0,0,True
631,angry,angry,0,0,True
632,angry,angry,0,0,True
633,fearful,sad,3,6,False
634,surprised,surprised,7,7,True
635,fearful,fearful,3,3,True
636,surprised,surprised,7,7,True
637,disgust,disgust,2,2,True
638,sad,sad,6,6,True
639,sad,sad,6,6,True
640,calm,calm,1,1,True
641,fearful,fearful,3,3,True
642,surprised,surprised,7,7,True
643,disgust,happy,2,4,False
644,happy,happy,4,4,True
645,sad,sad,6,6,True
646,neutral,neutral,5,5,True
647,happy,happy,4,4,True
648,disgust,angry,2,0,False
649,happy,happy,4,4,True
650,disgust,disgust,2,2,True
651,neutral,neutral,5,5,True
652,disgust,disgust,2,2,True
653,fearful,fearful,3,3,True
654,sad,sad,6,6,True
655,angry,angry,0,0,True
656,happy,happy,4,4,True
657,disgust,disgust,2,2,True
658,fearful,fearful,3,3,True
659,sad,sad,6,6,True
660,surprised,surprised,7,7,True
661,disgust,disgust,2,2,True
662,disgust,disgust,2,2,True
663,happy,happy,4,4,True
664,disgust,sad,2,6,False
665,happy,happy,4,4,True
666,sad,sad,6,6,True
667,fearful,happy,3,4,False
668,neutral,sad,5,6,False
669,angry,angry,0,0,True
670,fearful,fearful,3,3,True
671,disgust,disgust,2,2,True
672,sad,sad,6,6,True
673,fearful,fearful,3,3,True
674,angry,angry,0,0,True
675,disgust,disgust,2,2,True
676,happy,surprised,4,7,False
677,angry,angry,0,0,True
678,disgust,disgust,2,2,True
679,surprised,surprised,7,7,True
680,angry,angry,0,0,True
681,neutral,neutral,5,5,True
682,disgust,disgust,2,2,True
683,fearful,fearful,3,3,True
684,angry,angry,0,0,True
685,happy,happy,4,4,True
686,fearful,disgust,3,2,False
687,fearful,fearful,3,3,True
688,disgust,disgust,2,2,True
689,disgust,fearful,2,3,False
690,neutral,neutral,5,5,True
691,fearful,fearful,3,3,True
692,disgust,happy,2,4,False
693,neutral,neutral,5,5,True
694,disgust,disgust,2,2,True
695,sad,fearful,6,3,False
696,fearful,fearful,3,3,True
697,sad,sad,6,6,True
698,surprised,surprised,7,7,True
699,angry,disgust,0,2,False
700,sad,neutral,6,5,False
701,disgust,disgust,2,2,True
702,sad,sad,6,6,True
703,happy,happy,4,4,True
704,sad,sad,6,6,True
705,neutral,neutral,5,5,True
706,disgust,disgust,2,2,True
707,disgust,happy,2,4,False
708,sad,sad,6,6,True
709,neutral,sad,5,6,False
710,sad,fearful,6,3,False
711,neutral,neutral,5,5,True
712,disgust,disgust,2,2,True
713,surprised,angry,7,0,False
714,angry,angry,0,0,True
715,disgust,disgust,2,2,True
716,disgust,disgust,2,2,True
717,disgust,disgust,2,2,True
718,fearful,fearful,3,3,True
719,happy,happy,4,4,True
720,disgust,disgust,2,2,True
721,fearful,fearful,3,3,True
722,disgust,disgust,2,2,True
723,sad,sad,6,6,True
724,neutral,sad,5,6,False
725,angry,angry,0,0,True
726,sad,fearful,6,3,False
727,happy,happy,4,4,True
728,disgust,disgust,2,2,True
729,disgust,disgust,2,2,True
730,angry,angry,0,0,True
731,angry,angry,0,0,True
732,surprised,surprised,7,7,True
733,calm,calm,1,1,True
734,sad,sad,6,6,True
735,angry,angry,0,0,True
736,fearful,fearful,3,3,True
737,fearful,fearful,3,3,True
738,fearful,fearful,3,3,True
739,sad,sad,6,6,True
740,fearful,fearful,3,3,True
741,angry,angry,0,0,True
742,angry,disgust,0,2,False
743,fearful,fearful,3,3,True
744,sad,sad,6,6,True
745,angry,angry,0,0,True
746,disgust,sad,2,6,False
747,angry,angry,0,0,True
748,sad,sad,6,6,True
749,neutral,neutral,5,5,True
750,fearful,fearful,3,3,True
751,sad,sad,6,6,True
752,fearful,happy,3,4,False
753,sad,sad,6,6,True
754,sad,sad,6,6,True
755,angry,angry,0,0,True
756,disgust,sad,2,6,False
757,surprised,surprised,7,7,True
758,sad,disgust,6,2,False
759,fearful,fearful,3,3,True
760,sad,sad,6,6,True
761,disgust,disgust,2,2,True
762,fearful,fearful,3,3,True
763,happy,happy,4,4,True
764,fearful,fearful,3,3,True
765,neutral,happy,5,4,False
766,surprised,surprised,7,7,True
767,angry,happy,0,4,False
768,neutral,neutral,5,5,True
769,fearful,fearful,3,3,True
770,disgust,disgust,2,2,True
771,happy,happy,4,4,True
772,angry,angry,0,0,True
773,disgust,disgust,2,2,True
774,neutral,neutral,5,5,True
775,disgust,disgust,2,2,True
776,disgust,disgust,2,2,True
777,disgust,disgust,2,2,True
778,angry,angry,0,0,True
779,sad,sad,6,6,True
780,disgust,disgust,2,2,True
781,disgust,neutral,2,5,False
782,neutral,neutral,5,5,True
783,happy,fearful,4,3,False
784,disgust,disgust,2,2,True
785,sad,sad,6,6,True
786,sad,sad,6,6,True
787,sad,sad,6,6,True
788,neutral,neutral,5,5,True
789,happy,disgust,4,2,False
790,disgust,disgust,2,2,True
791,sad,fearful,6,3,False
792,fearful,fearful,3,3,True
793,happy,happy,4,4,True
794,surprised,surprised,7,7,True
795,fearful,angry,3,0,False
796,disgust,disgust,2,2,True
797,surprised,surprised,7,7,True
798,fearful,fearful,3,3,True
799,happy,happy,4,4,True
800,fearful,happy,3,4,False
801,neutral,neutral,5,5,True
802,fearful,fearful,3,3,True
803,sad,fearful,6,3,False
804,neutral,neutral,5,5,True
805,angry,angry,0,0,True
806,fearful,fearful,3,3,True
807,disgust,disgust,2,2,True
808,sad,fearful,6,3,False
809,angry,angry,0,0,True
810,sad,sad,6,6,True
811,angry,angry,0,0,True
812,neutral,neutral,5,5,True
813,neutral,neutral,5,5,True
814,fearful,fearful,3,3,True
815,sad,fearful,6,3,False
816,happy,disgust,4,2,False
817,happy,happy,4,4,True
818,sad,sad,6,6,True
819,fearful,fearful,3,3,True
820,happy,happy,4,4,True
821,happy,happy,4,4,True
822,angry,angry,0,0,True
823,disgust,disgust,2,2,True
824,neutral,neutral,5,5,True
825,disgust,happy,2,4,False
826,fearful,fearful,3,3,True
827,sad,sad,6,6,True
828,fearful,fearful,3,3,True
829,sad,sad,6,6,True
830,neutral,neutral,5,5,True
831,fearful,fearful,3,3,True
832,neutral,neutral,5,5,True
833,neutral,neutral,5,5,True
834,neutral,neutral,5,5,True
835,sad,disgust,6,2,False
836,surprised,surprised,7,7,True
837,disgust,disgust,2,2,True
838,neutral,neutral,5,5,True
839,angry,neutral,0,5,False
840,sad,sad,6,6,True
841,angry,angry,0,0,True
842,surprised,surprised,7,7,True
843,fearful,fearful,3,3,True
844,surprised,surprised,7,7,True
845,angry,angry,0,0,True
846,angry,angry,0,0,True
847,disgust,sad,2,6,False
848,angry,angry,0,0,True
849,happy,happy,4,4,True
850,angry,angry,0,0,True
851,surprised,surprised,7,7,True
852,angry,angry,0,0,True
853,surprised,happy,7,4,False
854,happy,happy,4,4,True
855,angry,angry,0,0,True
856,disgust,disgust,2,2,True
857,neutral,neutral,5,5,True
858,surprised,surprised,7,7,True
859,angry,angry,0,0,True
860,neutral,neutral,5,5,True
861,sad,neutral,6,5,False
862,surprised,surprised,7,7,True
863,fearful,fearful,3,3,True
864,sad,sad,6,6,True
865,sad,sad,6,6,True
866,neutral,neutral,5,5,True
867,angry,angry,0,0,True
868,neutral,neutral,5,5,True
869,disgust,fearful,2,3,False
870,sad,sad,6,6,True
871,disgust,disgust,2,2,True
872,disgust,disgust,2,2,True
873,disgust,disgust,2,2,True
874,neutral,neutral,5,5,True
875,disgust,disgust,2,2,True
876,happy,happy,4,4,True
877,fearful,fearful,3,3,True
878,disgust,disgust,2,2,True
879,happy,happy,4,4,True
880,angry,angry,0,0,True
881,disgust,disgust,2,2,True
882,sad,sad,6,6,True
883,surprised,surprised,7,7,True
884,neutral,fearful,5,3,False
885,happy,happy,4,4,True
886,happy,happy,4,4,True
887,fearful,fearful,3,3,True
888,surprised,surprised,7,7,True
889,neutral,sad,5,6,False
890,surprised,surprised,7,7,True
891,disgust,disgust,2,2,True
892,neutral,neutral,5,5,True
893,sad,sad,6,6,True
894,fearful,fearful,3,3,True
895,sad,fearful,6,3,False
896,happy,happy,4,4,True
897,neutral,neutral,5,5,True
898,angry,angry,0,0,True
899,neutral,neutral,5,5,True
900,happy,happy,4,4,True
901,fearful,fearful,3,3,True
902,angry,angry,0,0,True
903,angry,angry,0,0,True
904,angry,disgust,0,2,False
905,neutral,happy,5,4,False
906,neutral,neutral,5,5,True
907,angry,angry,0,0,True
908,sad,neutral,6,5,False
909,neutral,neutral,5,5,True
910,fearful,fearful,3,3,True
911,fearful,fearful,3,3,True
912,disgust,happy,2,4,False
913,angry,angry,0,0,True
914,sad,sad,6,6,True
915,angry,fearful,0,3,False
916,disgust,disgust,2,2,True
917,angry,angry,0,0,True
918,surprised,surprised,7,7,True
919,surprised,surprised,7,7,True
920,neutral,neutral,5,5,True
921,angry,angry,0,0,True
922,fearful,fearful,3,3,True
923,surprised,surprised,7,7,True
924,happy,happy,4,4,True
925,sad,fearful,6,3,False
